invc_code,sales_amt,tax_amt,total
1482613,1691.25,84.78,1776.03
1482614,4273.75,209.94,4483.69
1482615,404.25,14.76,419.01
1482616,3759.50,190.38,3949.88
1482617,2760.50,139.44,2899.94
1482618,4215.75,211.86,4427.61
1482619,278.75,0.00,278.75
1482620,4838.00,246.90,5084.90
1482621,642.75,44.99,687.74
1482622,1784.75,89.49,1874.24
1482623,533.25,22.50,555.75
1482624,600.00,36.00,636.00
1482625,6383.25,383.00,6766.25
1482626,4727.25,230.85,4958.10
1482627,12766.75,629.25,13396.00
1482628,2551.50,128.70,2680.20
1482629,374.25,0.00,374.25
1482630,1916.50,96.00,2012.50
1482631,3256.00,160.17,3416.17
1482632,9084.75,545.09,9629.84
1482633,6950.25,417.02,7367.27
1482640,8716.50,522.99,9239.49
1482641,556.25,20.28,576.53
1482642,898.50,44.42,942.92
1482643,1884.75,95.49,1980.24
1482644,567.75,26.37,594.12
1482645,4587.25,275.24,4862.49
1482646,3857.25,231.44,4088.69
1482647,863.25,43.20,906.45
1482648,702.50,42.15,744.65
1482649,1537.75,74.67,1612.42
1482650,251.25,7.38,258.63
1482651,1320.25,64.32,1384.57
1482652,1499.75,72.39,1572.14
1482653,2980.50,143.64,3124.14
1482654,2915.00,174.90,3089.90
1482655,2940.50,0.00,2940.50
1482656,48697.38,2360.56,51057.94
1482657,3302.25,0.00,3302.25
1482658,5268.75,316.14,5584.89
1482659,404.25,16.56,420.81
1482660,5919.75,289.76,6209.51
1482661,487.25,19.74,506.99
1482662,12659.25,759.56,13418.81
1482663,2422.75,119.63,2542.38
1482664,4806.00,288.36,5094.36
1482665,13414.50,804.87,14219.37
1482666,1676.50,81.60,1758.10
1482667,1342.75,80.57,1423.32
1482668,55.00,3.30,58.30
1482669,266.00,0.00,266.00
1482670,5516.50,0.00,5516.50
1482671,1331.25,66.78,1398.03
1482672,3280.25,167.43,3447.68
1482673,988.25,49.80,1038.05
1482674,2349.25,140.96,2490.21
1482675,416.25,29.14,445.39
1482676,3742.50,224.56,3967.06
1482677,558.25,24.00,582.25
1482678,4647.75,278.88,4926.63
1482679,2338.50,117.72,2456.22
1482680,80.00,4.80,84.80
1482681,4898.25,241.11,5139.36
1482682,3189.50,156.18,3345.68
1482683,4689.25,281.36,4970.61
1482684,1423.75,67.83,1491.58
1482685,3132.50,152.76,3285.26
1482686,1328.25,79.70,1407.95
1482687,8837.50,530.25,9367.75
1482688,1088.25,65.30,1153.55
1482689,811.50,40.10,851.60
1482690,667.50,30.56,698.06
1482691,2140.50,128.43,2268.93
1482692,448.25,26.90,475.15
1482693,1746.75,87.21,1833.96
1482694,2689.76,161.39,2851.15
1482695,1771.25,106.28,1877.53
1482696,1438.00,100.66,1538.66
1482697,1490.25,71.82,1562.07
1482698,1408.25,84.50,1492.75
1482699,1178.25,58.50,1236.75
1482700,11485.50,689.13,12174.63
1482701,6334.77,380.09,6714.86
1482702,2163.00,129.78,2292.78
1482703,4221.50,225.30,4446.80
1482704,20.00,1.20,21.20
1482705,6550.76,305.97,6856.73
1482706,1960.00,117.60,2077.60
1482707,1704.00,0.00,1704.00
1482708,714.75,33.39,748.14
1482709,1362.00,67.73,1429.73
1482710,552.75,23.67,576.42
