invc_code,dispatch_revenue,ar_total,difference
1482613,1647.00,1776.03,-129.03
1482614,3825.00,4483.69,-658.69
1482615,286.00,419.01,-133.01
1482616,3439.00,3949.88,-510.88
1482617,2520.00,2899.94,-379.94
1482618,3971.00,4427.61,-456.61
1482619,180.50,278.75,-98.25
1482620,4713.00,5084.90,-371.90
1482621,562.50,687.74,-125.24
1482622,1738.50,1874.24,-135.74
1482623,425.00,555.75,-130.75
1482624,600.00,636.00,-36.00
1482625,6006.00,6766.25,-760.25
1482626,4332.00,4958.10,-626.10
1482627,11311.00,13396.00,-2085.00
1482628,2483.00,2680.20,-197.20
1482629,255.00,374.25,-119.25
1482630,1800.00,2012.50,-212.50
1482631,2935.50,3416.17,-480.67
1482632,8791.00,9629.84,-838.84
1482633,6721.00,7367.27,-646.27
1482640,8078.50,9239.49,-1160.99
1482641,382.00,576.53,-194.53
1482642,803.25,942.92,-139.67
1482643,1715.00,1980.24,-265.24
1482644,499.50,594.12,-94.62
1482645,4162.50,4862.49,-699.99
1482646,3496.50,4088.69,-592.19
1482647,810.00,906.45,-96.45
1482648,635.25,744.65,-109.40
1482649,1349.00,1612.42,-263.42
1482650,145.00,258.63,-113.63
1482651,1184.00,1384.57,-200.57
1482652,1396.50,1572.14,-175.64
1482653,2888.00,3124.14,-236.14
1482654,2743.50,3089.90,-346.40
1482655,2839.00,2940.50,-101.50
1482656,41782.63,51057.94,-9275.31
1482657,3302.25,3302.25,0.00
1482658,5130.00,5584.89,-454.89
1482659,292.00,420.81,-128.81
1482660,5534.25,6209.51,-675.26
1482661,357.00,506.99,-149.99
1482662,12249.00,13418.81,-1169.81
1482663,2227.50,2542.38,-314.88
1482664,4185.50,5094.36,-908.86
1482665,11924.00,14219.37,-2295.37
1482666,1530.00,1758.10,-228.10
1482667,1300.50,1423.32,-122.82
1482668,55.00,58.30,-3.30
1482669,266.00,266.00,0.00
1482670,5043.50,5516.50,-473.00
1482671,1211.00,1398.03,-187.03
1482672,3193.50,3447.68,-254.18
1482673,900.00,1038.05,-138.05
1482674,2270.75,2490.21,-219.46
1482675,277.50,445.39,-167.89
1482676,3312.00,3967.06,-655.06
1482677,450.00,582.25,-132.25
1482678,4094.00,4926.63,-832.63
1482679,2118.00,2456.22,-338.22
1482680,80.00,84.80,-4.80
1482681,4246.50,5139.36,-892.86
1482682,2755.00,3345.68,-590.68
1482683,4531.25,4970.61,-439.36
1482684,1377.50,1491.58,-114.08
1482685,2812.00,3285.26,-473.26
1482686,1237.50,1407.95,-170.45
1482687,8268.00,9367.75,-1099.75
1482688,1014.00,1153.55,-139.55
1482689,740.25,851.60,-111.35
1482690,600.25,698.06,-97.81
1482691,1920.00,2268.93,-348.93
1482692,328.00,475.15,-147.15
1482693,1586.50,1833.96,-247.46
1482694,2599.26,2851.15,-251.89
1482695,1684.75,1877.53,-192.78
1482696,1391.75,1538.66,-146.91
1482697,1444.00,1562.07,-118.07
1482698,1368.00,1492.75,-124.75
1482699,1105.00,1236.75,-131.75
1482700,9997.50,12174.63,-2177.13
1482701,5637.52,6714.86,-1077.34
1482702,1930.50,2292.78,-362.28
1482703,2600.00,4446.80,-1846.80
1482704,20.00,21.20,-1.20
1482705,6415.51,6856.73,-441.22
1482706,1897.50,2077.60,-180.10
1482707,1543.75,1704.00,-160.25
1482708,626.50,748.14,-121.64
1482709,1233.75,1429.73,-195.98
1482710,442.50,576.42,-133.92
1482711,2490.50,2769.99,-279.49
1482712,3348.00,3612.67,-264.67
1482713,848.25,962.00,-113.75
1482714,360.00,484.73,-124.73
1482715,320.00,483.63,-163.63
1482716,3060.00,3459.32,-399.32
1482717,3325.00,3763.54,-438.54
1482718,350.00,509.07,-159.07
1482719,2821.50,3087.00,-265.50
1482720,3034.50,3274.56,-240.06
1482721,365.00,581.83,-216.83
1482722,4080.00,4408.11,-328.11
1482723,600.00,636.00,-36.00
1482724,648.45,695.61,-47.16
1482725,15504.00,17536.44,-2032.44
1482726,5510.00,5966.32,-456.32
1482727,3377.00,3953.05,-576.05
1482728,1406.00,1562.07,-156.07
1482729,507.50,614.26,-106.76
1482730,318.00,499.75,-181.75
1482731,453.00,574.83,-121.83
1482732,660.00,798.49,-138.49
1482733,333.00,494.27,-161.27
1482734,1014.00,1153.55,-139.55
1482735,1316.00,1473.61,-157.61
1482736,658.00,757.89,-99.89
1482737,3633.50,4065.46,-431.96
1482738,265.50,415.83,-150.33
1482739,10085.26,11003.87,-918.61
1482740,2788.00,3171.00,-383.00
1482741,410.00,552.00,-142.00
1482742,1225.00,1336.93,-111.93
1482743,1264.50,1387.28,-122.78
1482744,7947.51,8710.03,-762.52
1482745,1334.75,1463.86,-129.11
1482746,6884.13,7541.24,-657.11
1482747,3969.13,4353.29,-384.16
1482748,1444.00,1562.07,-118.07
1482749,688.00,837.67,-149.67
1482750,907.50,1025.75,-118.25
1482751,5510.00,5966.32,-456.32
1482752,4981.00,5314.84,-333.84
1482753,5379.38,5737.12,-357.74
1482754,1001.00,1188.53,-187.53
1482755,4812.52,5729.85,-917.33
1482756,1287.25,1534.35,-247.10
1482757,5946.89,7080.95,-1134.06
1482758,2431.00,2882.67,-451.67
1482759,2608.50,3233.53,-625.03
1482760,1480.50,1842.81,-362.31
1482761,2439.00,2908.11,-469.11
1482762,1642.50,1928.10,-285.60
1482763,7172.00,8718.77,-1546.77
1482764,4590.63,5012.08,-421.45
1482765,499.50,662.24,-162.74
1482766,3889.26,4288.57,-399.31
1482767,783.00,892.83,-109.83
1482768,1412.00,1626.25,-214.25
1482769,3278.00,3936.83,-658.83
1482770,110.00,116.60,-6.60
1482771,385.00,408.10,-23.10
1482772,5310.52,5674.31,-363.79
1482773,240.00,395.63,-155.63
1482774,535.50,594.75,-59.25
1482775,1539.00,1871.70,-332.70
1482776,1787.50,1965.24,-177.74
1482777,10601.51,11890.65,-1289.14
1482778,5130.00,5766.15,-636.15
1482779,185.00,326.79,-141.79
1482780,3325.00,3763.54,-438.54
1482781,5362.50,6355.23,-992.73
1482782,5244.00,6004.95,-760.95
1482783,2844.00,3426.68,-582.68
1482784,5310.38,6302.22,-991.84
1482785,1394.25,1652.01,-257.76
1482786,5309.25,5817.55,-508.30
1482787,1120.00,1237.19,-117.19
1482788,2301.00,2594.36,-293.36
1482789,1593.00,1833.27,-240.27
1482790,885.00,958.55,-73.55
1482791,13022.00,14643.06,-1621.06
1482792,9369.39,9992.77,-623.38
1482793,7012.50,8675.04,-1662.54
1482794,5293.77,6552.94,-1259.17
1482795,3387.50,4199.99,-812.49
1482796,3184.25,3800.10,-615.85
1482797,5843.75,6958.90,-1115.15
1482798,7493.76,9281.27,-1787.51
1482799,4878.00,6054.72,-1176.72
1482800,1829.26,2246.04,-416.78
1482801,5024.26,5694.60,-670.34
1482802,4505.88,5101.92,-596.04
1482803,510.00,608.25,-98.25
1482804,736.00,845.57,-109.57
1482805,2520.00,2810.90,-290.90
1482806,8825.01,10254.98,-1429.97
1482807,3177.00,3461.43,-284.43
1482808,427.50,542.50,-115.00
1482809,3429.50,3818.97,-389.47
1482810,7338.75,8540.43,-1201.68
1482811,1629.25,1629.25,0.00
1482812,5148.00,5644.50,-496.50
1482813,202.50,331.56,-129.06
1482814,7475.02,9332.53,-1857.51
1482815,972.00,1178.99,-206.99
1482816,11680.00,12634.25,-954.25
1482817,2992.00,3375.58,-383.58
1482818,8370.63,9947.97,-1577.34
1482819,1567.50,1781.07,-213.57
1482820,1106.00,1798.94,-692.94
1482821,2472.00,2851.02,-379.02
1482822,2450.50,2784.09,-333.59
1482823,1560.00,1858.71,-298.71
1482824,490.50,624.08,-133.58
1482825,16159.00,17712.60,-1553.60
1482826,4119.63,4512.82,-393.19
1482827,17004.00,19087.69,-2083.69
1482828,4230.00,5250.18,-1020.18
1482829,2860.00,3388.29,-528.29
1482830,5740.63,6836.87,-1096.24
1482831,1548.50,1881.77,-333.27
1482832,652.00,797.39,-145.39
1482833,9685.00,10602.92,-917.92
1482834,1608.75,1770.47,-161.72
1482835,990.00,1128.11,-138.11
1482836,328.00,458.25,-130.25
1482837,504.00,619.31,-115.31
1482838,960.00,1147.19,-187.19
1482839,5492.38,6016.96,-524.58
1482840,7567.00,8643.73,-1076.73
1482841,1684.38,2010.69,-326.31
1482842,1358.50,1489.04,-130.54
1482843,15768.00,17055.00,-1287.00
1482844,2231.25,2619.27,-388.02
1482845,370.00,509.59,-139.59
1482846,1008.00,1102.67,-94.67
1482847,11304.00,12936.30,-1632.30
1482848,3116.00,3662.83,-546.83
1482849,2335.50,2550.36,-214.86
1482850,2756.25,3167.47,-411.22
1482851,1197.00,1319.58,-122.58
1482852,3146.00,3454.28,-308.28
1482853,7053.75,7722.10,-668.35
1482854,510.00,616.17,-106.17
1482855,716.00,823.93,-107.93
1482856,4047.00,4837.26,-790.26
1482857,10792.00,13382.72,-2590.72
1482858,340.00,433.53,-93.53
1482859,680.00,768.81,-88.81
1482860,2649.00,2864.41,-215.41
1482861,1656.00,1801.14,-145.14
1482862,1007.50,1119.75,-112.25
1482863,1306.25,1614.91,-308.66
1482864,2909.50,3669.99,-760.49
1482865,4778.13,5689.16,-911.03
1482866,2193.13,2400.51,-207.38
1482867,351.00,487.91,-136.91
1482868,1620.00,1871.52,-251.52
1482869,6707.00,7466.64,-759.64
1482870,360.00,381.60,-21.60
1482871,240.00,254.40,-14.40
1482872,3267.01,3582.55,-315.54
1482873,4617.00,4984.65,-367.65
1482874,716.00,832.41,-116.41
1482875,3078.00,3323.10,-245.10
1482876,1472.00,1588.09,-116.09
1482877,389.25,527.93,-138.68
1482878,4635.00,5400.90,-765.90
1482879,4864.00,5281.56,-417.56
1482880,1444.00,1743.33,-299.33
1482881,708.00,798.49,-90.49
1482882,2064.00,2228.74,-164.74
1482883,368.00,508.05,-140.05
1482884,187.50,335.75,-148.25
1482885,12780.00,13818.69,-1038.69
1482886,3262.00,3974.21,-712.21
1482887,1440.00,1724.18,-284.18
1482888,5505.25,5942.99,-437.74
1482889,756.00,810.11,-54.11
1482900,181.50,329.44,-147.94
1482901,514.50,620.94,-106.44
