day,plant_code,delv_qty_uom,delv_qty,revenue,ticket_line_count
2025-02-01,1,80004,97.00,2425.00,1
2025-02-01,3,80004,64.00,1600.00,3
2025-02-01,4,80004,27.50,687.50,3
2025-02-01,40,90005,90.00,8952.00,3
2025-02-01,42,90005,129.00,6310.00,4
2025-02-01,43,90005,73.00,6972.50,3
2025-02-01,44,90005,270.50,22661.25,4
2025-02-01,6,80004,30.00,750.00,1
2025-02-03,1,40003,67.00,11061.01,9
2025-02-03,3,40003,68.25,10715.75,9
2025-02-03,4,40003,651.00,98116.53,76
2025-02-03,40,60003,6.00,202.50,2
2025-02-03,6,40003,249.00,39249.88,33
2025-02-04,1,40003,301.25,49521.39,38
2025-02-04,3,40003,232.25,35556.50,36
2025-02-04,4,40003,673.50,104707.89,85
2025-02-04,40,60003,28.00,445.50,3
2025-02-04,43,60003,2.00,22.00,1
2025-02-04,44,60003,207.42,7467.12,9
2025-02-04,6,40003,405.00,65862.52,49
2025-02-04,6,80001,1.00,50.00,1
2025-02-05,1,40003,63.25,9702.00,11
2025-02-05,3,40003,255.75,40301.13,32
2025-02-05,4,40003,459.75,70880.66,58
2025-02-05,40,60003,39.00,1072.50,2
2025-02-05,42,80001,2.00,120.00,1
2025-02-05,44,60003,6.00,300.00,1
2025-02-05,6,40003,304.25,48378.63,43
2025-02-05,6,80001,1.00,80.00,1
2025-02-06,1,40003,3.00,514.50,1
2025-02-06,3,40003,3.00,543.00,1
2025-02-06,4,40003,141.00,21402.00,17
2025-02-06,6,40003,12.50,2074.50,2
2025-02-07,1,40003,57.50,9634.25,8
2025-02-07,3,40003,158.50,25646.75,21
2025-02-07,4,40003,619.00,96475.53,75
2025-02-07,4,80001,4.00,16.00,1
2025-02-07,40,60003,6.00,165.00,2
2025-02-07,6,40003,286.50,46453.13,37
2025-02-10,1,40003,59.00,9884.50,8
2025-02-10,3,40003,116.50,17531.50,16
2025-02-10,4,40003,963.50,142776.71,122
2025-02-10,4,80001,2.00,800.00,1
2025-02-10,40,60003,5.00,200.00,1
2025-02-10,40,80001,26.00,780.00,1
2025-02-10,43,60003,15.00,173.00,3
2025-02-10,44,80002,1.00,95.00,1
2025-02-10,6,40003,407.00,60153.76,50
2025-02-11,1,40003,94.00,14182.27,13
2025-02-11,3,40003,107.50,15289.52,14
2025-02-11,4,40003,332.00,50025.54,40
2025-02-11,40,60003,3.00,39.00,1
2025-02-11,6,40003,135.50,19366.02,19
2025-02-13,1,40003,88.75,13819.88,12
2025-02-13,3,40003,49.75,8651.50,9
