order_date,order_code,tkt_code,tkt_chrg_intrnl_line_num,tkt_chrg_code,sundry_chrg_table_id,unld_chrg_table_id,prod_code,prod_descr,short_prod_descr,prod_cat,price,cstmry_price,metric_price,price_uom,cstmry_price_uom,metric_price_uom,price_derived_from_code,price_ext_code,taxble_code,non_tax_rsn_code,delv_qty,cstmry_delv_qty,metric_delv_qty,delv_qty_uom,cstmry_delv_qty_uom,metric_delv_qty_uom,ext_price_amt,price_qty,cstmry_price_qty,metric_price_qty,cost,cost_uom,cstmry_cost,metric_cost,cost_ext_code,ext_matl_cost_amt,moved_order_date,moved_to_order_code,moved_from_order_code,delv_price_flag,comb_meth_code,usage_code,order_intrnl_line_num,invc_round_diff_amt,update_date,u_version
"2021-01-04 00:00:00","           1","  517654",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 06:54:06","!"
"2021-01-04 00:00:00","           1","  517654",2,"07","  3",(null),"FSC         ","FUEL SURCHARGE                          ","FSC             ","    10",0.00,0.00,0.00,"80001","80001","80001","85","1",0," 32",1.00,1.00,1.00,"80001","80001","80001",0.00,1.00,1.00,1.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 06:54:06","!"
"2021-01-04 00:00:00","           1","  517656",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:07:25","!"
"2021-01-04 00:00:00","           1","  517656",2,"07","  3",(null),"FSC         ","FUEL SURCHARGE                          ","FSC             ","    10",0.00,0.00,0.00,"80001","80001","80001","85","1",0," 32",1.00,1.00,1.00,"80001","80001","80001",0.00,1.00,1.00,1.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:07:25","!"
"2021-01-04 00:00:00","           1","  517660",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.25,9.25,9.25,"80001","80001","80001",27.75,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:31:28","!"
"2021-01-04 00:00:00","           1","  517660",2,"07","  3",(null),"FSC         ","FUEL SURCHARGE                          ","FSC             ","    10",0.00,0.00,0.00,"80001","80001","80001","85","1",0," 32",1.00,1.00,1.00,"80001","80001","80001",0.00,1.00,1.00,1.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:31:28","!"
"2021-01-04 00:00:00","           1","  517671",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),8.00,8.00,8.00,"80001","80001","80001",24.00,8.00,8.00,8.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 09:00:12","!"
"2021-01-04 00:00:00","           1","  517671",2,"07","  3",(null),"FSC         ","FUEL SURCHARGE                          ","FSC             ","    10",0.00,0.00,0.00,"80001","80001","80001","85","1",0," 32",1.00,1.00,1.00,"80001","80001","80001",0.00,1.00,1.00,1.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 09:00:12","!"
"2021-01-04 00:00:00","           2","  353147",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 06:42:53","!"
"2021-01-04 00:00:00","           2","  353159",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),4.00,4.00,4.00,"80001","80001","80001",12.00,4.00,4.00,4.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:20:12","!"
"2021-01-04 00:00:00","           3","  102788",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",2.00,2.00,2.00,"80001","80001","80001","85",(null),1,(null),9.50,9.50,9.50,"80001","80001","80001",19.00,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:05:50","!"
"2021-01-04 00:00:00","           3","  102793",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",2.00,2.00,2.00,"80001","80001","80001","85",(null),1,(null),9.25,9.25,9.25,"80001","80001","80001",18.50,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:45:26","!"
"2021-01-04 00:00:00","           3","  102800",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",2.00,2.00,2.00,"80001","80001","80001","85",(null),1,(null),9.50,9.50,9.50,"80001","80001","80001",19.00,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:51:37","!"
"2021-01-04 00:00:00","           3","  102802",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",2.00,2.00,2.00,"80001","80001","80001","85",(null),1,(null),9.25,9.25,9.25,"80001","80001","80001",18.50,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 09:20:57","!"
"2021-01-04 00:00:00","           3","  102804",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",2.00,2.00,2.00,"80001","80001","80001","85",(null),1,(null),9.50,9.50,9.50,"80001","80001","80001",19.00,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 10:02:27","!"
"2021-01-04 00:00:00","           3","  102806",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",2.00,2.00,2.00,"80001","80001","80001","85",(null),1,(null),9.50,9.50,9.50,"80001","80001","80001",19.00,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 10:27:49","!"
"2021-01-04 00:00:00","           4","  102786",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 06:48:06","!"
"2021-01-04 00:00:00","           4","  102792",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:40:26","!"
"2021-01-04 00:00:00","           4","  102796",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:10:56","!"
"2021-01-04 00:00:00","           4","  102807",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),6.00,6.00,6.00,"80001","80001","80001",18.00,6.00,6.00,6.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 10:51:48","!"
"2021-01-04 00:00:00","           5","  102801",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 09:01:29","!"
"2021-01-04 00:00:00","           5","  102803",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.25,9.25,9.25,"80001","80001","80001",27.75,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 09:32:31","!"
"2021-01-04 00:00:00","           5","  102809",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.25,9.25,9.25,"80001","80001","80001",27.75,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 11:04:33","!"
"2021-01-04 00:00:00","           5","  102811",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 11:27:16","!"
"2021-01-04 00:00:00","           5","  102816",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),4.00,4.00,4.00,"80001","80001","80001",12.00,4.00,4.00,4.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 14:08:34","!"
"2021-01-04 00:00:00","           7","  215332",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 15:15:29","!"
"2021-01-04 00:00:00","           7","  517681",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.25,9.25,9.25,"80001","80001","80001",27.75,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 12:17:05","!"
"2021-01-04 00:00:00","           7","  517683",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 12:53:54","!"
"2021-01-04 00:00:00","           7","  517688",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.25,9.25,9.25,"80001","80001","80001",27.75,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 13:25:53","!"
"2021-01-04 00:00:00","           7","  517693",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.25,9.25,9.25,"80001","80001","80001",27.75,9.25,9.25,9.25,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 14:13:28","!"
"2021-01-04 00:00:00","           8","  102785",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 06:42:31","!"
"2021-01-04 00:00:00","           8","  102787",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 06:58:48","!"
"2021-01-04 00:00:00","           8","  102789",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:14:14","!"
"2021-01-04 00:00:00","           8","  102790",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:28:06","!"
"2021-01-04 00:00:00","           8","  102794",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:53:10","!"
"2021-01-04 00:00:00","           8","  102795",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:57:02","!"
"2021-01-04 00:00:00","           8","  102797",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:20:30","!"
"2021-01-04 00:00:00","           8","  102798",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:24:48","!"
