order_date,order_code,tkt_code,order_intrnl_line_num,actl_batch_qty,cstmry_actl_batch_qty,metric_actl_batch_qty,matl_price,cstmry_matl_price,metric_matl_price,haul_price,cstmry_haul_price,metric_haul_price,delv_price,cstmry_delv_price,metric_delv_price,cost,cost_uom,cstmry_cost,metric_cost,cost_ext_code,ext_matl_cost_amt,delv_qty,cstmry_delv_qty,metric_delv_qty,delv_qty_uom,cstmry_delv_qty_uom,metric_delv_qty_uom,orig_delv_qty,cstmry_orig_delv_qty,metric_orig_delv_qty,order_delv_qty,cstmry_order_delv_qty,metric_order_delv_qty,dump_qty,cstmry_dump_qty,metric_dump_qty,pre_batched_qty,cstmry_pre_batched_qty,metric_pre_batched_qty,resold_qty,cstmry_resold_qty,metric_resold_qty,price_qty,cstmry_price_qty,metric_price_qty,tkt_qty,cstmry_tkt_qty,metric_tkt_qty,resold_tkt_code,rm_slump,rm_slump_uom,rm_mix_flag,ext_price_amt,ship_plant_code,susp_rsn_code,invy_adjust_code,sales_anl_adjust_code,moved_order_date,moved_to_order_code,moved_from_order_code,reused_order_date,reused_order_code,batch_code,am_min_temp,invc_round_diff_amt,chrg_cart_code,ext_matl_price,ext_haul_price,ext_delv_price,inventory_update_qty,temperature,temperature_uom,energy_consumed,energy_consumed_uom,pct_hydrate,record_origin_code,pre_batched_water_qty,pre_batched_water_uom,pre_batched_uom,order_num,version,seq_num,external_plant_code,dump_water_qty,ext_pay_cart_amt,pay_cart_qty,pay_cart_qty_uom,pay_cart_rate_amt,min_slump,max_slump,update_date,u_version,lot_num_list
"2025-01-01 00:00:00","           1","   10242",1,(null),(null),(null),66.00,66.00,66.00,0.00,0.00,0.00,66.00,66.00,66.00,(null),"90005",(null),(null),(null),0.00,1.50,1.50,1.50,"90005","90005","80001",(null),(null),(null),1.50,1.50,1.50,(null),(null),(null),(null),(null),(null),(null),(null),(null),1.50,1.50,1.50,(null),(null),(null),(null),(null),(null),false,99.00," 40",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),99.00,0.00,99.00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),"2025-01-21 08:29:13","!",(null)
"2025-01-02 00:00:00","           3","  267785",1,9.50,9.50,7.26,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),9.50,9.50,7.26,"40003","40003","40013",9.50,9.50,7.26,9.50,9.50,7.26,(null),(null),(null),(null),(null),(null),(null),(null),(null),9.50,9.50,7.26,9.50,9.50,7.26,(null),"4       ",(null),true,1415.50,"  6",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-02 11:01:09","!",(null)
"2025-01-02 00:00:00","           3","  267786",1,9.50,9.50,7.26,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),9.50,9.50,7.26,"40003","40003","40013",9.50,9.50,7.26,19.00,19.00,14.53,(null),(null),(null),(null),(null),(null),(null),(null),(null),9.50,9.50,7.26,9.50,9.50,7.26,(null),"4       ",(null),true,1415.50,"  6",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-02 11:16:22","!",(null)
"2025-01-02 00:00:00","           3","  267795",1,9.50,9.50,7.26,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),9.50,9.50,7.26,"40003","40003","40013",9.50,9.50,7.26,28.50,28.50,21.79,(null),(null),(null),(null),(null),(null),(null),(null),(null),9.50,9.50,7.26,9.50,9.50,7.26,(null),"4       ",(null),true,1415.50,"  6",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-02 12:58:33","!",(null)
"2025-01-02 00:00:00","           7","  267787",4,1.50,1.50,1.15,309.00,309.00,404.17,0.00,0.00,0.00,309.00,309.00,404.17,(null),(null),(null),(null),(null),0.00,1.50,1.50,1.15,"40003","40003","40013",1.50,1.50,1.15,1.50,1.50,1.15,(null),(null),(null),(null),(null),(null),(null),(null),(null),1.50,1.50,1.15,1.50,1.50,1.15,(null),"    4.00",(null),true,463.50,"  6",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),463.50,0.00,463.50,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-08 16:52:41","""",(null)
"2025-01-02 00:00:00","           7","  267788",2,7.00,7.00,5.35,195.00,195.00,255.06,0.00,0.00,0.00,195.00,195.00,255.06,(null),(null),(null),(null),(null),(null),7.00,7.00,5.35,"40003","40003","40013",7.00,7.00,5.35,7.00,7.00,5.35,(null),(null),(null),(null),(null),(null),(null),(null),(null),7.00,7.00,5.35,7.00,7.00,5.35,(null),"7       ",(null),true,1365.00,"  6",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1365.00,0.00,1365.00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-08 16:52:41","""",(null)
"2025-01-02 00:00:00","           7","  267794",2,7.00,7.00,5.35,195.00,195.00,255.06,0.00,0.00,0.00,195.00,195.00,255.06,(null),(null),(null),(null),(null),(null),7.00,7.00,5.35,"40003","40003","40013",7.00,7.00,5.35,14.00,14.00,10.70,(null),(null),(null),(null),(null),(null),(null),(null),(null),7.00,7.00,5.35,7.00,7.00,5.35,(null),"7       ",(null),true,1365.00,"  6",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1365.00,0.00,1365.00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-08 16:52:41","""",(null)
"2025-01-02 00:00:00","           8","  137300",1,6.00,6.00,4.59,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),6.00,6.00,4.59,"40003","40003","40013",6.00,6.00,4.59,6.00,6.00,4.59,(null),(null),(null),(null),(null),(null),(null),(null),(null),6.00,6.00,4.59,6.00,6.00,4.59,(null),"4       ",(null),true,1059.00,"  1",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-02 07:22:51","!",(null)
"2025-01-02 00:00:00","           8","  137301",1,6.00,6.00,4.59,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),6.00,6.00,4.59,"40003","40003","40013",6.00,6.00,4.59,12.00,12.00,9.17,(null),(null),(null),(null),(null),(null),(null),(null),(null),6.00,6.00,4.59,6.00,6.00,4.59,(null),"4       ",(null),true,1059.00,"  1",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-02 07:56:53","!",(null)
"2025-01-02 00:00:00","           9","  267770",5,8.50,8.50,6.50,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),8.50,8.50,6.50,"40003","40003","40013",8.50,8.50,6.50,8.50,8.50,6.50,(null),(null),(null),(null),(null),(null),(null),(null),(null),8.50,8.50,6.50,8.50,8.50,6.50,(null),"    4.00",(null),true,1198.50,"  6",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0.00,0.00,"2025-01-02 08:07:50","!",(null)
