uom,descr,short_descr,abbr,uom_type,predef_flag,accum_flag,imperial_flag,system_conv_uom,iso_code,update_date,u_version
"10001","Inches                                  ","inches  ","in",1,true,true,true,"10011",(null),(null),"!"
"10002","Feet                                    ","feet    ","ft",1,true,true,true,"10012",(null),(null),"!"
"10003","Yards                                   ","yards   ","yd",1,true,true,true,"10013",(null),(null),"!"
"10011","Millimeters                             ","mm's    ","mm",1,true,true,false,"10001",(null),(null),"!"
"10012","Centimeters                             ","cm's    ","cm",1,true,true,false,"10002",(null),(null),"!"
"10013","Meters                                  ","meters  ","mt",1,true,true,false,"10003",(null),(null),"!"
"20001","Miles                                   ","miles   ","mi",2,true,true,true,"20011",(null),(null),"!"
"20011","Kilometers                              ","km's    ","km",2,true,true,false,"20001",(null),(null),"!"
"30001","Square Inches                           ","sq in   ","si",3,true,true,true,"30011",(null),(null),"!"
"30002","Square Feet                             ","sq feet ","sf",3,true,true,true,"30012",(null),(null),"!"
"30003","Square Yards                            ","sq yards","sy",3,true,true,true,"30013",(null),(null),"!"
"30004","Square Miles                            ","sq miles","sl",3,true,true,true,"30014",(null),(null),"!"
"30005","Acres                                   ","acres   ","ac",3,true,true,true,"30014",(null),(null),"!"
"30011","Square Millimeters                      ","sq mm's ","sm",3,true,true,false,"30001",(null),(null),"!"
"30012","Square Centimeters                      ","sq cm's ","sc",3,true,true,false,"30001",(null),(null),"!"
"30013","Square Meters                           ","sq meter","m2",3,true,true,false,"30003",(null),(null),"!"
"30014","Square Kilometers                       ","sq km's ","k2",3,true,true,false,"30004",(null),(null),"!"
"40001","Cubic Inches                            ","cu inch ","ci",4,true,true,true,"40012",(null),(null),"!"
"40002","Cubic Feet                              ","cu feet ","cf",4,true,true,true,"40013",(null),(null),"!"
"40003","Cubic Yards                             ","Cubic Ya","cy",4,true,true,true,"40013",(null),"2001-04-11 16:45:10","!"
"40005","Cubic Yards                             ","cu yds  ","cy",4,true,true,true,"40013",(null),"2004-12-01 16:37:40","!"
"40011","Cubic Millimeters                       ","cu mm's ","ms",4,true,true,false,"40001",(null),(null),"!"
